TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Sphygmomanometers,Koninklijke Philips N.V.,23,1,2,2.0
Sphygmomanometers,Datex-Ohmeda Inc,26,0,2,15.5
Physiologic Monitoring System,Drager Medical AG & Co KGaA,0,0,1,47.7
Ventilator,Koninklijke Philips N.V.,29,1,2,2.0
Sphygmomanometers,Medtronic,17,1,2,15.6
Radiographic System,Physio-Control Inc,15,1,1,10.1
Radiographic System,Med-Vantage Sdn Bhd,8,0,1,37.2
Infusion Pump,Medtronic,18,1,1,12.9
Radiographic System,Canon Inc (Toshiba Medical),21,0,1,9.1
Infusion Pump,Welch Allyn Inc,4,0,1,47.1
Ventilator,Welch Allyn Inc,26,0,2,2.0
Physiologic Monitoring System,Welch Allyn Inc,1,0,2,43.5
Physiologic Monitoring System,Canon Inc (Toshiba Medical),29,0,1,13.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,14,0,1,30.2
Radiographic System,Blease Medical Equipment Ltd,6,0,2,30.0
Ventilator,Medtronic,3,0,1,37.6
Radiographic System,Koninklijke Philips N.V.,0,1,2,26.9
Radiographic System,Canon Inc (Toshiba Medical),12,1,1,12.8
Ventilator,Welch Allyn Inc,19,0,1,20.4
Ventilator,Med-Vantage Sdn Bhd,21,2,1,2.0
Ventilator,B. Braun Melsungen AG,6,0,2,34.2
Ventilator,Canon Inc (Toshiba Medical),14,1,1,14.1
Physiologic Monitoring System,Omron Healthcare Co Ltd,22,0,2,15.9
Defibrillator,Blease Medical Equipment Ltd,13,0,1,30.5
Defibrillator,Koninklijke Philips N.V.,22,1,1,4.2
Ventilator,Welch Allyn Inc,18,1,1,9.6
Defibrillator,Baxter Healthcare Corp,21,2,2,2.0
Defibrillator,Siemens Healthineers,28,1,2,2.0
Ventilator,Med-Vantage Sdn Bhd,23,2,1,2.0
Defibrillator,Siemens Healthineers,19,0,1,27.8
Radiographic System,Drager Medical AG & Co KGaA,28,0,1,10.9
Infusion Pump,Siemens Healthineers,23,0,1,22.5
Infusion Pump,Koninklijke Philips N.V.,17,0,1,28.6
Ventilator,Nihon Kohden Corp,30,1,2,2.0
Physiologic Monitoring System,Physio-Control Inc,9,1,2,25.2
Ventilator,Koninklijke Philips N.V.,8,0,1,34.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,24,2,1,2.0
Infusion Pump,Omron Healthcare Co Ltd,7,2,2,12.9
Ventilator,Koninklijke Philips N.V.,25,0,2,8.5
Sphygmomanometers,Canon Inc (Toshiba Medical),29,0,1,18.8
Radiographic System,Med-Vantage Sdn Bhd,28,0,1,5.3
Defibrillator,Datex-Ohmeda Inc,9,0,1,32.7
Physiologic Monitoring System,Med-Vantage Sdn Bhd,16,0,1,28.6
Sphygmomanometers,Physio-Control Inc,1,1,1,43.8
Defibrillator,Baxter Healthcare Corp,5,0,1,38.1
Defibrillator,Siemens Healthineers,25,0,2,7.4
Ventilator,Physio-Control Inc,4,2,1,16.1
Defibrillator,Siemens Healthineers,27,1,1,2.0
Radiographic System,Drager Medical AG & Co KGaA,29,2,1,2.0
Sphygmomanometers,Physio-Control Inc,8,0,2,38.4
Defibrillator,Welch Allyn Inc,4,0,2,31.0
Ventilator,Blease Medical Equipment Ltd,17,1,1,8.0
Radiographic System,Blease Medical Equipment Ltd,25,0,1,14.5
Infusion Pump,Siemens Healthineers,19,0,2,20.0
Sphygmomanometers,Baxter Healthcare Corp,8,1,1,27.3
Defibrillator,Welch Allyn Inc,16,1,1,11.2
Ventilator,GE Healthcare,26,0,1,12.1
Infusion Pump,Medtronic,16,1,1,18.6
Infusion Pump,Medtronic,11,0,1,36.0
Physiologic Monitoring System,Baxter Healthcare Corp,6,0,2,37.5
Radiographic System,Datex-Ohmeda Inc,26,0,2,2.0
Defibrillator,GE Healthcare,2,0,1,45.3
Ventilator,Drager Medical AG & Co KGaA,9,0,2,30.4
Physiologic Monitoring System,Baxter Healthcare Corp,1,2,1,28.9
Radiographic System,Welch Allyn Inc,24,1,1,2.0
Physiologic Monitoring System,Medtronic,2,1,2,35.3
Sphygmomanometers,Canon Inc (Toshiba Medical),15,0,2,30.4
Radiographic System,Medtronic,1,0,1,42.8
Radiographic System,Medtronic,27,0,1,11.1
Defibrillator,Welch Allyn Inc,23,0,2,10.7
Radiographic System,B. Braun Melsungen AG,9,0,2,21.9
Physiologic Monitoring System,Baxter Healthcare Corp,5,1,2,29.8
Radiographic System,Koninklijke Philips N.V.,21,1,1,5.1
Defibrillator,Med-Vantage Sdn Bhd,25,1,1,2.0
Defibrillator,Drager Medical AG & Co KGaA,10,1,1,23.1
Sphygmomanometers,Medtronic,22,2,1,3.5
Physiologic Monitoring System,Med-Vantage Sdn Bhd,6,0,2,35.4
Infusion Pump,Blease Medical Equipment Ltd,26,0,1,17.3
Infusion Pump,Canon Inc (Toshiba Medical),28,0,1,8.9
Radiographic System,Siemens Healthineers,14,1,2,8.0
Sphygmomanometers,Baxter Healthcare Corp,5,2,1,22.6
Ventilator,Omron Healthcare Co Ltd,19,0,1,21.5
Radiographic System,Welch Allyn Inc,26,2,2,2.0
Sphygmomanometers,B. Braun Melsungen AG,8,2,2,13.5
Physiologic Monitoring System,Blease Medical Equipment Ltd,21,0,2,11.7
Physiologic Monitoring System,Baxter Healthcare Corp,19,0,1,28.7
Physiologic Monitoring System,Drager Medical AG & Co KGaA,11,0,2,32.5
Physiologic Monitoring System,Canon Inc (Toshiba Medical),18,2,2,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,19,0,1,23.6
Sphygmomanometers,Drager Medical AG & Co KGaA,2,1,1,40.9
Sphygmomanometers,Blease Medical Equipment Ltd,14,0,2,35.9
Defibrillator,Baxter Healthcare Corp,1,1,1,32.7
Infusion Pump,Koninklijke Philips N.V.,29,0,2,9.9
Physiologic Monitoring System,Blease Medical Equipment Ltd,20,1,1,11.3
Ventilator,Omron Healthcare Co Ltd,1,2,1,18.5
Sphygmomanometers,Drager Medical AG & Co KGaA,21,2,1,2.0
Ventilator,B. Braun Melsungen AG,2,2,2,14.4
Ventilator,B. Braun Melsungen AG,5,0,1,38.9
Ventilator,Med-Vantage Sdn Bhd,14,1,1,11.3
Defibrillator,Drager Medical AG & Co KGaA,26,0,2,6.2
Sphygmomanometers,Nihon Kohden Corp,9,0,2,38.5
Ventilator,Baxter Healthcare Corp,8,1,2,19.4
Physiologic Monitoring System,Nihon Kohden Corp,0,0,1,55.7
Radiographic System,Datex-Ohmeda Inc,15,1,1,11.7
Ventilator,Baxter Healthcare Corp,5,2,2,5.1
Defibrillator,Drager Medical AG & Co KGaA,8,0,2,32.2
Sphygmomanometers,GE Healthcare,26,1,1,13.2
Defibrillator,Canon Inc (Toshiba Medical),3,0,1,39.0
Ventilator,Drager Medical AG & Co KGaA,26,0,2,3.8
Sphygmomanometers,Nihon Kohden Corp,27,0,1,21.4
Radiographic System,Koninklijke Philips N.V.,1,2,2,13.1
Ventilator,Canon Inc (Toshiba Medical),28,2,1,2.0
Defibrillator,Drager Medical AG & Co KGaA,3,2,1,18.7
Infusion Pump,Drager Medical AG & Co KGaA,0,2,2,23.4
Physiologic Monitoring System,Koninklijke Philips N.V.,18,0,1,28.4
Defibrillator,Drager Medical AG & Co KGaA,25,0,1,14.0
Sphygmomanometers,Canon Inc (Toshiba Medical),24,1,1,12.8
Ventilator,Medtronic,9,1,1,20.1
Physiologic Monitoring System,GE Healthcare,20,0,2,23.9
Ventilator,Siemens Healthineers,14,0,2,26.9
Sphygmomanometers,GE Healthcare,26,1,2,2.0
Ventilator,Welch Allyn Inc,21,1,1,2.1
Infusion Pump,Omron Healthcare Co Ltd,18,0,1,28.5
Physiologic Monitoring System,Med-Vantage Sdn Bhd,15,1,1,16.8
Physiologic Monitoring System,Drager Medical AG & Co KGaA,20,1,2,5.2
Sphygmomanometers,Medtronic,26,1,2,2.0
Infusion Pump,Baxter Healthcare Corp,23,0,2,15.1
Defibrillator,Drager Medical AG & Co KGaA,21,1,1,7.1
Ventilator,Nihon Kohden Corp,3,0,1,39.8
Radiographic System,Blease Medical Equipment Ltd,1,0,1,46.2
Ventilator,Medtronic,29,1,1,2.0
Ventilator,Koninklijke Philips N.V.,24,1,1,6.1
Defibrillator,Medtronic,12,0,2,26.5
Ventilator,Welch Allyn Inc,27,1,1,2.0
Infusion Pump,Koninklijke Philips N.V.,0,1,1,39.3
Infusion Pump,Datex-Ohmeda Inc,16,1,1,18.2
Physiologic Monitoring System,Siemens Healthineers,12,1,2,17.7
Sphygmomanometers,Physio-Control Inc,3,1,2,27.9
Radiographic System,Canon Inc (Toshiba Medical),6,1,2,20.3
Ventilator,Medtronic,16,0,2,22.1
Ventilator,Canon Inc (Toshiba Medical),8,0,1,30.8
Defibrillator,B. Braun Melsungen AG,3,0,2,38.1
Sphygmomanometers,Nihon Kohden Corp,18,1,1,21.6
Infusion Pump,Drager Medical AG & Co KGaA,0,1,1,37.6
Radiographic System,Nihon Kohden Corp,9,0,2,30.3
Physiologic Monitoring System,Canon Inc (Toshiba Medical),3,0,2,42.7
Infusion Pump,GE Healthcare,8,1,1,26.8
Sphygmomanometers,Physio-Control Inc,12,0,1,42.5
Physiologic Monitoring System,GE Healthcare,13,1,1,20.3
Defibrillator,Datex-Ohmeda Inc,9,0,1,33.5
Defibrillator,Physio-Control Inc,5,1,1,25.8
Ventilator,Physio-Control Inc,15,2,1,2.0
Sphygmomanometers,GE Healthcare,5,0,1,48.9
Radiographic System,Koninklijke Philips N.V.,16,1,2,4.4
Physiologic Monitoring System,Welch Allyn Inc,9,0,1,41.5
Infusion Pump,Canon Inc (Toshiba Medical),17,1,1,12.1
Sphygmomanometers,GE Healthcare,26,1,1,5.9
Sphygmomanometers,Nihon Kohden Corp,21,0,2,22.8
Defibrillator,Koninklijke Philips N.V.,17,1,1,16.1
Ventilator,Nihon Kohden Corp,2,2,1,18.3
Ventilator,Welch Allyn Inc,19,0,1,18.8
Physiologic Monitoring System,Datex-Ohmeda Inc,26,0,2,9.5
Defibrillator,Drager Medical AG & Co KGaA,20,2,2,2.0
Sphygmomanometers,Welch Allyn Inc,30,1,2,2.0
Radiographic System,Omron Healthcare Co Ltd,24,2,2,2.0
Defibrillator,Baxter Healthcare Corp,27,1,2,2.0
Physiologic Monitoring System,Koninklijke Philips N.V.,14,2,2,2.0
Physiologic Monitoring System,Datex-Ohmeda Inc,14,0,1,33.2
Defibrillator,Omron Healthcare Co Ltd,3,1,1,30.5
Physiologic Monitoring System,B. Braun Melsungen AG,28,2,2,2.0
Defibrillator,Datex-Ohmeda Inc,26,1,1,2.0
Infusion Pump,GE Healthcare,8,0,1,40.9
Defibrillator,Med-Vantage Sdn Bhd,26,0,2,7.3
Defibrillator,GE Healthcare,25,0,1,16.1
Physiologic Monitoring System,Welch Allyn Inc,18,0,2,25.0
Physiologic Monitoring System,Baxter Healthcare Corp,23,0,2,13.5
Ventilator,Datex-Ohmeda Inc,27,1,1,2.0
Ventilator,Canon Inc (Toshiba Medical),16,1,2,8.9
Infusion Pump,Siemens Healthineers,10,0,1,40.6
Ventilator,Drager Medical AG & Co KGaA,24,1,1,2.2
Defibrillator,Welch Allyn Inc,8,0,1,36.0
Physiologic Monitoring System,GE Healthcare,9,0,2,36.4
Ventilator,Baxter Healthcare Corp,17,0,2,19.9
Ventilator,Drager Medical AG & Co KGaA,19,1,1,8.1
Infusion Pump,Datex-Ohmeda Inc,12,0,2,31.0
Sphygmomanometers,Canon Inc (Toshiba Medical),7,0,1,45.3
Infusion Pump,Datex-Ohmeda Inc,6,0,2,34.9
Defibrillator,Physio-Control Inc,16,2,1,2.0
Physiologic Monitoring System,Baxter Healthcare Corp,20,0,2,19.3
Infusion Pump,Omron Healthcare Co Ltd,22,1,1,8.2
Ventilator,GE Healthcare,14,1,1,17.9
Physiologic Monitoring System,Canon Inc (Toshiba Medical),19,1,1,17.2
Physiologic Monitoring System,Siemens Healthineers,14,2,2,2.0
Ventilator,Datex-Ohmeda Inc,30,0,1,3.3
Infusion Pump,Siemens Healthineers,0,0,2,45.1
Ventilator,Datex-Ohmeda Inc,24,2,1,2.0
Sphygmomanometers,GE Healthcare,13,1,1,26.4
Physiologic Monitoring System,Drager Medical AG & Co KGaA,4,1,1,31.2
Radiographic System,Medtronic,10,1,2,15.9
Radiographic System,Drager Medical AG & Co KGaA,15,1,1,11.9
Defibrillator,Datex-Ohmeda Inc,1,2,2,14.8
Ventilator,Nihon Kohden Corp,7,2,2,5.9
Ventilator,Med-Vantage Sdn Bhd,10,1,2,13.5
Defibrillator,Blease Medical Equipment Ltd,28,0,1,5.5
Defibrillator,Medtronic,17,2,2,2.0
Defibrillator,Omron Healthcare Co Ltd,2,0,2,38.6
Physiologic Monitoring System,Medtronic,29,0,1,11.9
Sphygmomanometers,Med-Vantage Sdn Bhd,25,2,2,2.0
Ventilator,Siemens Healthineers,0,0,1,46.7
Physiologic Monitoring System,Baxter Healthcare Corp,10,0,1,45.1
Defibrillator,Siemens Healthineers,15,0,1,29.6
Ventilator,Welch Allyn Inc,17,2,1,2.0
Physiologic Monitoring System,Siemens Healthineers,29,1,1,2.0
Sphygmomanometers,Omron Healthcare Co Ltd,15,1,1,21.8
Physiologic Monitoring System,Nihon Kohden Corp,22,0,2,16.7
Sphygmomanometers,Drager Medical AG & Co KGaA,9,1,1,31.1
Defibrillator,Drager Medical AG & Co KGaA,17,1,1,8.6
Sphygmomanometers,Blease Medical Equipment Ltd,5,0,1,50.1
Ventilator,B. Braun Melsungen AG,30,0,2,2.0
Defibrillator,Datex-Ohmeda Inc,18,0,2,19.9
Ventilator,Nihon Kohden Corp,3,2,2,8.2
Radiographic System,B. Braun Melsungen AG,26,1,2,2.0
Infusion Pump,Med-Vantage Sdn Bhd,30,2,1,2.0
Sphygmomanometers,Welch Allyn Inc,12,0,2,32.2
Infusion Pump,GE Healthcare,23,1,1,6.4
Infusion Pump,Med-Vantage Sdn Bhd,13,1,1,23.4
Sphygmomanometers,Datex-Ohmeda Inc,2,1,2,32.5
Defibrillator,Datex-Ohmeda Inc,9,2,1,9.7
Radiographic System,Physio-Control Inc,5,0,2,36.2
Ventilator,Physio-Control Inc,0,0,2,37.8
Physiologic Monitoring System,Koninklijke Philips N.V.,22,1,1,14.8
Ventilator,Med-Vantage Sdn Bhd,23,1,1,2.0
Physiologic Monitoring System,Koninklijke Philips N.V.,26,1,1,2.9
Ventilator,Siemens Healthineers,13,0,2,24.6
Sphygmomanometers,GE Healthcare,7,1,2,28.7
Radiographic System,Medtronic,18,0,1,20.6
Physiologic Monitoring System,Blease Medical Equipment Ltd,13,0,1,33.2
Defibrillator,Medtronic,9,1,2,18.1
Ventilator,Blease Medical Equipment Ltd,16,1,2,2.0
Ventilator,Physio-Control Inc,8,0,1,35.1
Physiologic Monitoring System,Physio-Control Inc,28,0,1,18.8
Defibrillator,Physio-Control Inc,5,0,2,31.1
Defibrillator,Nihon Kohden Corp,10,0,1,33.0
Sphygmomanometers,Baxter Healthcare Corp,24,1,1,9.1
Sphygmomanometers,Blease Medical Equipment Ltd,6,2,2,13.4
Sphygmomanometers,Med-Vantage Sdn Bhd,16,0,2,24.1
Sphygmomanometers,Koninklijke Philips N.V.,27,1,1,4.4
Sphygmomanometers,Nihon Kohden Corp,27,2,1,2.0
Sphygmomanometers,Drager Medical AG & Co KGaA,0,2,1,32.9
Radiographic System,Medtronic,21,0,1,12.9
Defibrillator,Welch Allyn Inc,4,2,2,12.5
Sphygmomanometers,Omron Healthcare Co Ltd,8,0,1,45.1
Defibrillator,Datex-Ohmeda Inc,17,0,2,24.1
Defibrillator,Koninklijke Philips N.V.,23,0,2,13.5
Infusion Pump,B. Braun Melsungen AG,26,1,1,6.3
Radiographic System,Canon Inc (Toshiba Medical),20,0,1,19.7
Sphygmomanometers,Drager Medical AG & Co KGaA,1,0,1,51.4
Ventilator,Med-Vantage Sdn Bhd,28,0,2,2.2
Physiologic Monitoring System,Welch Allyn Inc,25,2,2,2.0
Ventilator,Koninklijke Philips N.V.,10,2,1,2.0
Radiographic System,Omron Healthcare Co Ltd,26,0,2,3.5
Physiologic Monitoring System,Nihon Kohden Corp,27,2,2,2.0
Radiographic System,Med-Vantage Sdn Bhd,5,2,2,8.1
Defibrillator,GE Healthcare,25,1,1,2.0
Physiologic Monitoring System,Datex-Ohmeda Inc,7,0,1,44.5
Defibrillator,Koninklijke Philips N.V.,3,1,2,25.3
Ventilator,Baxter Healthcare Corp,17,2,1,2.0
Ventilator,Physio-Control Inc,27,1,1,2.0
Physiologic Monitoring System,Physio-Control Inc,10,0,1,39.0
Physiologic Monitoring System,Datex-Ohmeda Inc,4,1,1,32.4
Sphygmomanometers,Omron Healthcare Co Ltd,14,1,1,23.0
Radiographic System,Blease Medical Equipment Ltd,27,1,2,2.0
Sphygmomanometers,Welch Allyn Inc,17,0,1,34.8
Radiographic System,Nihon Kohden Corp,1,0,1,47.2
Sphygmomanometers,Physio-Control Inc,30,2,2,2.0
Defibrillator,Koninklijke Philips N.V.,21,2,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,10,0,1,40.0
Ventilator,Medtronic,25,2,2,2.0
Radiographic System,Blease Medical Equipment Ltd,24,0,2,6.5
Radiographic System,Medtronic,12,1,2,10.4
Ventilator,Drager Medical AG & Co KGaA,3,1,2,27.7
Sphygmomanometers,Welch Allyn Inc,21,2,1,4.5
Radiographic System,Siemens Healthineers,6,2,2,8.2
Defibrillator,Blease Medical Equipment Ltd,28,0,1,14.6
Physiologic Monitoring System,GE Healthcare,10,2,2,11.3
Ventilator,Datex-Ohmeda Inc,21,0,1,14.9
Physiologic Monitoring System,Drager Medical AG & Co KGaA,23,1,2,6.8
Radiographic System,Siemens Healthineers,3,1,2,25.1
Radiographic System,Nihon Kohden Corp,27,1,2,2.0
Ventilator,Blease Medical Equipment Ltd,14,0,1,26.3
Defibrillator,Baxter Healthcare Corp,0,2,1,23.4
Infusion Pump,Baxter Healthcare Corp,22,0,2,17.3
Ventilator,GE Healthcare,2,0,2,35.0
Infusion Pump,Welch Allyn Inc,13,1,1,19.8
Sphygmomanometers,Physio-Control Inc,5,1,2,32.8
Infusion Pump,Med-Vantage Sdn Bhd,17,2,2,2.0
Defibrillator,Koninklijke Philips N.V.,24,0,1,13.8
Sphygmomanometers,Drager Medical AG & Co KGaA,0,0,2,51.9
Infusion Pump,Canon Inc (Toshiba Medical),5,2,1,19.8
Sphygmomanometers,Blease Medical Equipment Ltd,5,1,1,37.4
Infusion Pump,Drager Medical AG & Co KGaA,20,0,1,21.9
Defibrillator,Blease Medical Equipment Ltd,15,1,2,11.4
Infusion Pump,Datex-Ohmeda Inc,28,1,2,2.0
Infusion Pump,Blease Medical Equipment Ltd,4,1,1,30.8
Infusion Pump,Datex-Ohmeda Inc,16,1,2,11.4
Ventilator,Blease Medical Equipment Ltd,9,2,2,6.7
Ventilator,Baxter Healthcare Corp,27,2,2,2.0
Ventilator,Baxter Healthcare Corp,20,1,1,12.0
Defibrillator,Welch Allyn Inc,17,0,2,14.7
Sphygmomanometers,Omron Healthcare Co Ltd,6,2,1,18.3
Radiographic System,B. Braun Melsungen AG,2,1,1,32.2
Infusion Pump,B. Braun Melsungen AG,12,1,1,26.8
Infusion Pump,Omron Healthcare Co Ltd,14,0,1,30.6
Defibrillator,Physio-Control Inc,19,2,2,2.0
Infusion Pump,B. Braun Melsungen AG,18,1,1,16.9
Ventilator,Welch Allyn Inc,2,0,2,36.8
Radiographic System,Canon Inc (Toshiba Medical),3,0,1,40.5
Physiologic Monitoring System,Canon Inc (Toshiba Medical),4,2,1,21.8
Infusion Pump,Koninklijke Philips N.V.,0,0,2,42.3
Ventilator,Koninklijke Philips N.V.,3,2,2,10.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),11,1,1,25.2
Radiographic System,Drager Medical AG & Co KGaA,27,1,1,2.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,26,0,1,13.9
Ventilator,Medtronic,23,0,1,17.0
Sphygmomanometers,Omron Healthcare Co Ltd,9,2,2,13.6
Sphygmomanometers,Koninklijke Philips N.V.,22,0,2,18.8
Physiologic Monitoring System,Med-Vantage Sdn Bhd,24,1,1,12.8
Defibrillator,Med-Vantage Sdn Bhd,20,0,2,15.1
Physiologic Monitoring System,Siemens Healthineers,28,0,2,9.9
Infusion Pump,Baxter Healthcare Corp,30,0,1,13.6
Infusion Pump,Datex-Ohmeda Inc,25,1,1,10.7
Sphygmomanometers,Welch Allyn Inc,19,2,2,2.0
Defibrillator,Canon Inc (Toshiba Medical),23,0,2,14.2
Ventilator,B. Braun Melsungen AG,24,0,1,11.3
Infusion Pump,Omron Healthcare Co Ltd,12,0,1,35.6
Sphygmomanometers,Drager Medical AG & Co KGaA,22,1,1,12.6
Radiographic System,Canon Inc (Toshiba Medical),13,0,2,23.9
Sphygmomanometers,GE Healthcare,22,2,1,3.4
Infusion Pump,Datex-Ohmeda Inc,4,1,1,37.4
Infusion Pump,Siemens Healthineers,3,1,2,24.2
Sphygmomanometers,Med-Vantage Sdn Bhd,13,0,2,31.5
Ventilator,B. Braun Melsungen AG,9,2,2,6.6
Physiologic Monitoring System,Siemens Healthineers,16,0,1,27.7
Infusion Pump,Baxter Healthcare Corp,9,0,1,41.3
Sphygmomanometers,Canon Inc (Toshiba Medical),25,1,1,12.8
Sphygmomanometers,Blease Medical Equipment Ltd,6,1,1,34.6
Defibrillator,Baxter Healthcare Corp,15,0,2,18.9
Physiologic Monitoring System,Welch Allyn Inc,0,0,1,51.7
Radiographic System,Med-Vantage Sdn Bhd,16,1,1,14.3
Ventilator,Physio-Control Inc,20,0,1,22.8
Radiographic System,Drager Medical AG & Co KGaA,28,2,1,2.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,8,1,2,21.7
Physiologic Monitoring System,Datex-Ohmeda Inc,5,0,1,49.8
Physiologic Monitoring System,Nihon Kohden Corp,18,1,1,18.2
Radiographic System,Nihon Kohden Corp,12,0,1,26.1
Physiologic Monitoring System,Datex-Ohmeda Inc,2,1,1,37.8
Sphygmomanometers,GE Healthcare,6,1,1,35.4
Radiographic System,Welch Allyn Inc,21,0,2,10.1
Physiologic Monitoring System,Drager Medical AG & Co KGaA,8,1,2,25.0
Sphygmomanometers,Siemens Healthineers,21,2,2,2.0
Defibrillator,GE Healthcare,4,0,2,36.1
Physiologic Monitoring System,Medtronic,9,2,2,13.3
Radiographic System,Datex-Ohmeda Inc,22,0,2,6.0
Infusion Pump,Siemens Healthineers,16,0,1,35.7
