ScannerAge,OperatingHours,ScansPerformed,DaysSinceMaintenance,TubeWear,HeatLoad,TubeArcs,FilamentCurrent,FocalSpotDrift,GantryVibration,BearingTemperature,DetectorTemperature,DetectorDropouts,SNR,CoolantFlow,CoolantTemperature,ChillerCycles,Voltage,UPSHealth,WarningCodes,ErrorCodes,HealthScore,RULDays,FailureProbability,ComponentAtRisk
4.2,7665.0,19207.0,21,31.7,44.4,6,4.65,0.38,0.3,43.3,28.2,0,30.8,6.8,28.9,84,392.3,79.2,6,1,49.0,156.0,0.5,Coolant Loop Unit
1.8,3745.0,14978.0,152,8.2,19.5,5,4.45,0.19,0.21,40.8,23.8,0,32.1,6.8,21.0,68,398.4,95.8,3,0,66.1,225.0,0.35,Coolant Loop Unit
3.1,7219.0,26736.0,128,20.3,29.7,7,4.2,0.34,0.36,44.9,26.5,2,29.6,6.3,25.8,76,404.4,91.4,9,2,42.6,150.0,0.59,Coolant Loop Unit
5.4,12040.0,44307.0,124,40.3,51.0,8,4.69,0.47,0.41,50.2,27.6,1,26.0,5.1,33.5,91,397.8,82.1,4,1,39.8,127.0,0.59,Coolant Loop Unit
9.9,22499.0,73451.0,146,98.0,88.0,22,5.52,1.01,0.66,50.0,33.9,1,22.6,3.8,42.9,119,400.1,64.7,17,6,5.0,20.0,0.94,X-Ray Tube Anode
10.4,19308.0,56960.0,21,80.4,83.5,17,5.39,0.81,0.61,44.9,30.7,3,28.0,5.7,39.9,107,392.7,64.4,15,3,5.0,19.0,0.95,X-Ray Tube Anode
0.6,1430.0,3900.0,54,5.0,20.3,2,4.03,0.22,0.07,36.7,22.9,0,32.4,8.0,19.4,64,390.7,97.7,4,0,77.7,254.0,0.21,Coolant Loop Unit
6.4,15213.0,44530.0,138,67.8,62.8,12,4.96,0.74,0.43,45.3,29.2,1,25.1,5.0,34.7,100,401.6,79.2,9,0,26.0,94.0,0.75,X-Ray Tube Anode
5.3,12527.0,38383.0,152,44.2,60.6,8,4.89,0.5,0.24,44.1,30.5,1,27.3,5.0,38.5,106,387.8,85.7,6,1,42.6,140.0,0.58,Coolant Loop Unit
3.1,7257.0,26376.0,104,13.4,37.6,2,4.33,0.21,0.31,41.3,24.8,1,31.4,6.5,26.7,78,394.3,87.9,4,0,60.7,214.0,0.35,Coolant Loop Unit
1.9,4608.0,15249.0,111,24.0,27.4,7,4.35,0.36,0.19,37.9,26.9,3,29.5,6.7,24.4,72,397.4,91.6,8,0,57.5,198.0,0.43,Coolant Loop Unit
4.4,9558.0,25007.0,116,51.4,61.4,8,4.58,0.53,0.37,39.0,26.9,2,30.9,5.7,35.1,93,401.9,83.1,5,2,37.6,129.0,0.63,X-Ray Tube Anode
11.3,22009.0,55617.0,57,92.5,77.0,22,5.17,0.84,0.41,45.7,30.9,0,23.4,5.8,39.2,103,397.9,55.7,16,4,5.0,22.0,0.95,X-Ray Tube Anode
4.2,9411.0,24972.0,128,22.5,26.3,8,4.22,0.31,0.3,51.6,23.0,0,29.3,6.6,24.7,67,397.5,84.5,7,0,53.4,186.0,0.5,Coolant Loop Unit
6.5,15001.0,46741.0,151,59.8,57.3,13,4.93,0.7,0.38,42.7,25.0,1,26.0,5.5,31.1,89,390.2,71.5,8,0,34.1,106.0,0.67,X-Ray Tube Anode
8.6,19887.0,77555.0,150,77.4,69.5,16,5.26,0.88,0.7,51.8,30.9,1,26.3,4.6,38.9,100,396.7,72.5,14,3,5.0,8.0,0.95,X-Ray Tube Anode
4.7,10136.0,35031.0,162,43.6,56.9,8,4.53,0.49,0.37,41.5,28.6,2,28.4,5.2,37.9,99,398.0,86.5,8,1,36.8,124.0,0.65,Coolant Loop Unit
